State,County,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_SNAP17,PCT_FREE_LUNCH15,PCT_WIC17,FOOD_BANKS18,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS17,RECFACPTH16,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,POPLOSS10,FOODINSEC_15_17,GROCPTH16,SNAPSPTH17,WICSPTH16,FOOD_TAX14,FFRPTH16,PC_FFRSALES12,FIPS
AL,Autauga,11.991125,3.351331631,16.50005631,,2.543569611,0,13,36.3,0.108542277,77.24615638,17.58259882,2.400542413,0.855765883,0.3976471019,0.04031445273,11.99538216,26.77795899,56580,12.7,0,16.3,0.0542711,0.804746805,0.09051084518,4,0.7959767,674.8027204,01001
AL,Baldwin,5.424426597,1.905114466,16.50005631,39.44909638,2.543569611,0,10.4,36.3,0.10120043,83.50478699,9.308424547,4.384824294,0.7351932626,0.628754835,0.04334348339,16.77118481,22.98740844,52387,12.9,0,16.3,0.139752975,0.8908359514,0.1348020285,4,0.751774622,674.8027204,01003
AL,Barbour,10.73966657,4.329378079,16.50005631,63.98508258,2.543569611,0,18.4,36.3,0,46.75310485,46.69118986,5.051535128,0.3897002586,0.2185235095,0.0874094038,14.23680664,21.90698183,31433,32,0,16.3,0.155195158,1.424614167,0.2323870063,4,0.892372158,674.8027204,01005
AL,Bibb,2.601627008,2.821427444,16.50005631,52.2576761,2.543569611,0,14.8,36.3,0.0441833,75.02072878,21.9245036,1.771765219,0.09600698233,0.2792930395,0.03054767619,12.68164957,22.69692341,40767,22.2,0,16.3,0.220916361,0.8014234457,0.221474126,4,0.309282905,674.8027204,01007
AL,Blount,2.880149823,3.336414144,16.50005631,46.62458543,2.543569611,0,14.1,36.3,0.069490289,88.88733819,1.263040368,8.070199923,0.200621053,0.4971913053,0.03140155612,14.72209623,24.60835281,50487,14.7,0,16.3,0.086862861,0.6923735485,0.1390893161,4,0.39956916,674.8027204,01009
AL,Bullock,19.74335074,11.10444061,16.50005631,,2.543569611,0,19.6,36.3,0,21.9168041,69.97434488,7.119296317,0.1832508704,0.1832508704,0.03665017409,13.45977643,22.26498076,28251,39.6,0,16.3,0.2873288,0.9861932939,0.2889895141,4,0.2873288,674.8027204,01011
AL,Butler,2.926121931,3.770678378,16.50005631,67.33652313,2.543569611,0,17.7,36.3,0.0500877,54.06024729,43.1899556,0.9118250824,0.8306678761,0.2816632453,0.03341767318,16.6563231,24.13710794,33868,25.8,1,16.3,0.15026296,1.256830601,0.1997104138,4,0.901577761,674.8027204,01013
AL,Calhoun,9.178566583,2.60989548,16.50005631,52.74082252,2.543569611,0,14.9,36.3,0.0608802,73.61350066,20.3901427,3.283237189,0.6999966265,0.4048173262,0.07927672638,14.32884661,22.87723915,42091,20,0,16.3,0.234823448,1.185412454,0.1738858223,4,0.826230649,674.8027204,01015
AL,Chambers,10.32855828,5.24080289,16.50005631,65.33101045,2.543569611,0,16.4,36.3,0,58.14116616,38.59710653,1.566564372,0.4851673243,0.1665935993,0.02045886307,16.6768961,22.51351746,35560,22.4,1,16.3,0.207610404,1.05794995,0.1776672304,4,0.860100246,674.8027204,01017
AL,Cherokee,0.2211124003,2.822199537,16.50005631,53.38941118,2.543569611,0,13.3,36.3,0.0388108,92.07356959,4.640424795,1.231290161,0.1885413059,0.469429374,0.003847781754,17.89603294,21.41675324,39144,19.4,0,16.3,0.19405418,1.060318934,0.1551831216,4,0.58216254,674.8027204,01019
AL,Chilton,1.460530961,3.87190946,16.50005631,55.92147746,2.543569611,0,13.3,36.3,0.0456308,81.10120752,9.557088193,7.836308228,0.2864147744,0.3070366382,0.02520450015,13.56689503,25.11284742,42767,20.2,0,16.3,0.114077116,0.964440511,0.1366867125,4,0.501939311,674.8027204,01021
